model,config,gpu,energy_j_1k,throughput,power_w,cv_percent,ppl
Mistral-7B-v0.1,fp16,A800-SXM4-80GB,4402.43,37.68,169.03,1.73,4.668
Mistral-7B-v0.1,int8_default,A800-SXM4-80GB,10161.92,10.24,104.22,0.64,4.679
Mistral-7B-v0.1,int8_pure,A800-SXM4-80GB,6528.08,18.54,121.47,0.89,4.729
Mistral-7B-v0.1,nf4,A800-SXM4-80GB,4222.4,27.15,115.94,1.6,4.781
Mistral-7B-v0.1,nf4_dq,A800-SXM4-80GB,4797.03,23.05,111.62,1.13,4.781
Qwen2.5-14B,fp16,A800-SXM4-80GB,7359.98,29.36,218.61,0.78,4.593
Qwen2.5-14B,int8_default,A800-SXM4-80GB,15265.58,7.47,114.4,1.03,4.656
Qwen2.5-14B,int8_pure,A800-SXM4-80GB,9806.67,13.9,137.13,0.58,4.793
Qwen2.5-14B,nf4,A800-SXM4-80GB,7544.6,20.56,156.42,1.12,4.898
Qwen2.5-14B,nf4_dq,A800-SXM4-80GB,8755.73,16.89,148.93,0.5,4.898
Yi-1.5-9B,fp16,A800-SXM4-80GB,5445.12,31.16,171.13,0.5,5.732
Yi-1.5-9B,int8_default,A800-SXM4-80GB,11825.92,7.41,87.89,0.48,4.943
Yi-1.5-9B,int8_pure,A800-SXM4-80GB,8503.59,14.08,120.3,1.51,5.103
Yi-1.5-9B,nf4,A800-SXM4-80GB,5363.07,21.84,117.78,0.91,5.091
Yi-1.5-9B,nf4_dq,A800-SXM4-80GB,6145.54,17.57,108.65,0.51,5.092
